position;tag;type;Valeur_numérique;Unite;Date;identi;dim;form 
18;Profit loss from operating activities;IFRS;3101659.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
19;Profit loss from operating activities;IFRS;8634457.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
20;Revenue from government grants;IFRS;25368.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
21;Revenue from government grants;IFRS;40482.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
22;Finance income cost;IFRS;-234837.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
23;Finance income cost;IFRS;-325544.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
24;Profit loss;IFRS;2892190.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
25;Profit loss;IFRS;8349395.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
26;Other comprehensive income net of tax gains losses on remeasurements of defined benefit plans;IFRS;-11410.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
27;Other comprehensive income net of tax gains losses on remeasurements of defined benefit plans;IFRS;3312.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
28;Other comprehensive income that will not be reclassified to profit or loss net of tax;IFRS;-11410.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
29;Other comprehensive income that will not be reclassified to profit or loss net of tax;IFRS;3312.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
30;Other comprehensive income;IFRS;-11410.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
31;Other comprehensive income;IFRS;3312.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
32;Comprehensive income;IFRS;2880780.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
33;Comprehensive income;IFRS;8352707.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
34;Current trade receivables;IFRS;1515978.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
35;Current trade receivables;IFRS;2204883.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
36;Other current financial assets;IFRS;33101.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
37;Other current financial assets;IFRS;14780.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
38;Other current assets;IFRS;296047.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
39;Other current assets;IFRS;479660.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
40;Cash and cash equivalents;IFRS;13255924.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
41;Cash and cash equivalents;IFRS;9833545.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
42;Current assets;IFRS;15101050.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
43;Current assets;IFRS;12532868.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
44;Intangible assets other than goodwill;IFRS;1158440.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
45;Intangible assets other than goodwill;IFRS;703028.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
46;Property plant and equipment;IFRS;235044.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
47;Property plant and equipment;IFRS;256965.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
48;Noncurrent financial assets;IFRS;143795.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
49;Noncurrent financial assets;IFRS;118376.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
50;Rightofuse assets;IFRS;3779781.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
51;Rightofuse assets;IFRS;0.0;iso4217:USD;2018-12-31;nn;nn;nn
52;Noncurrent assets;IFRS;5317060.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
53;Noncurrent assets;IFRS;1078369.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
54;Assets;IFRS;20418110.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
55;Assets;IFRS;13611237.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
56;Trade and other current payables to trade suppliers;IFRS;967842.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
57;Trade and other current payables to trade suppliers;IFRS;943989.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
58;Liabilities due to board directors;Custom;18955.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
59;Liabilities due to board directors;Custom;20489.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
60;Other current financial liabilities;IFRS;554670.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
61;Other current financial liabilities;IFRS;70199.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
62;Other current payables;IFRS;1175099.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
63;Other current payables;IFRS;1145425.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
64;Current liabilities;IFRS;2716566.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
65;Current liabilities;IFRS;2180102.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
66;Noncurrent recognised liabilities defined benefit plan;IFRS;34009.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
67;Noncurrent recognised liabilities defined benefit plan;IFRS;20693.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
68;Noncurrent payables to trade suppliers;IFRS;0.0;iso4217:USD;2019-12-31;nn;nn;nn
69;Noncurrent payables to trade suppliers;IFRS;32475.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
70;Other noncurrent financial liabilities;IFRS;3437706.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
71;Other noncurrent financial liabilities;IFRS;3550.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
72;Noncurrent government grants;IFRS;43249.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
73;Noncurrent government grants;IFRS;68617.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
74;Noncurrent liabilities;IFRS;3514964.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
75;Noncurrent liabilities;IFRS;125335.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
76;Issued capital;IFRS;55927.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
77;Issued capital;IFRS;55927.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
78;Other reserves;IFRS;21416.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
79;Other reserves;IFRS;32826.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
80;Retained earnings;IFRS;14109237.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
81;Retained earnings;IFRS;11217047.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
82;Equity;IFRS;14186580.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
83;Equity;IFRS;11305800.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
84;Equity and liabilities;IFRS;20418110.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
85;Equity and liabilities;IFRS;13611237.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
86;Profit loss;IFRS;2892190.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
87;Profit loss;IFRS;8349395.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
88;Adjustments for depreciation and amortisation expense;IFRS;873846.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
89;Adjustments for depreciation and amortisation expense;IFRS;344735.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
90;Adjustments for provisions;IFRS;1277.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
91;Adjustments for provisions;IFRS;1686.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
92;Adjustments for losses gains on disposal of noncurrent assets;IFRS;0.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;nn
93;Adjustments for losses gains on disposal of noncurrent assets;IFRS;-17061.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
94;Adjustments for finance income cost;IFRS;-23974.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
95;Adjustments for finance income cost;IFRS;12470.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
96;Other adjustments for noncash items;IFRS;210645.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
97;Other adjustments for noncash items;IFRS;336162.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
98;Adjustments for decrease increase in trade and other receivables;IFRS;856671.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
99;Adjustments for decrease increase in trade and other receivables;IFRS;2305145.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
100;Adjustments for increase decrease in trade and other payables;IFRS;-23344.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
101;Adjustments for increase decrease in trade and other payables;IFRS;-4007682.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
102;Interest received classified as operating activities;IFRS;19118.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
103;Interest received classified as operating activities;IFRS;13635.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
104;Cash flows from used in operating activities;IFRS;4854427.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
105;Cash flows from used in operating activities;IFRS;7313545.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
106;Proceeds from disposals of property plant and equipment intangible assets other than goodwill investment property and other noncurrent assets;IFRS;0.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;nn
107;Proceeds from disposals of property plant and equipment intangible assets other than goodwill investment property and other noncurrent assets;IFRS;26194.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
108;Purchase of property plant and equipment intangible assets other than goodwill investment property and other noncurrent assets;IFRS;793219.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
109;Purchase of property plant and equipment intangible assets other than goodwill investment property and other noncurrent assets;IFRS;519780.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
110;Purchase of financial instruments classified as investing activities;IFRS;40087.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
111;Purchase of financial instruments classified as investing activities;IFRS;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;nn
112;Cash flows from used in investing activities;IFRS;-833040.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
113;Cash flows from used in investing activities;IFRS;-493586.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
114;Payments of lease liabilities classified as financing activities;IFRS;438783.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
115;Payments of lease liabilities classified as financing activities;IFRS;4242.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
116;Proceeds from other financing liabilities;Custom;61383.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
117;Proceeds from other financing liabilities;Custom;-9124.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
118;Interest paid classified as financing activities;IFRS;34622.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
119;Interest paid classified as financing activities;IFRS;1238.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
120;Cash flows from used in financing activities;IFRS;-412022.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
121;Cash flows from used in financing activities;IFRS;-14604.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
122;Increase decrease in cash and cash equivalents before effect of exchange rate changes;IFRS;3609365.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
123;Increase decrease in cash and cash equivalents before effect of exchange rate changes;IFRS;6805355.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
124;Effect of exchange rate changes on cash and cash equivalents;IFRS;-186986.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
125;Effect of exchange rate changes on cash and cash equivalents;IFRS;-295553.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
126;Cash and cash equivalents;IFRS;9833545.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
127;Cash and cash equivalents;IFRS;3323743.0;iso4217:USD;2017-12-31;nn;nn;ixt:num-dot-decimal
128;Cash and cash equivalents;IFRS;13255924.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
129;Cash and cash equivalents;IFRS;9833545.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
130;Equity;IFRS;55927.0;iso4217:USD;2017-12-31;nn;nn;ixt:num-dot-decimal
131;Equity;IFRS;29514.0;iso4217:USD;2017-12-31;nn;nn;ixt:num-dot-decimal
132;Equity;IFRS;2867652.0;iso4217:USD;2017-12-31;nn;nn;ixt:num-dot-decimal
133;Equity;IFRS;2953093.0;iso4217:USD;2017-12-31;nn;nn;ixt:num-dot-decimal
134;Profit loss;IFRS;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs-full:OtherReservesMember;nn
135;Profit loss;IFRS;8349395.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs-full:RetainedEarningsMember;ixt:num-dot-decimal
136;Profit loss;IFRS;8349395.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
137;Other comprehensive income;IFRS;3312.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs-full:OtherReservesMember;ixt:num-dot-decimal
138;Other comprehensive income;IFRS;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs-full:RetainedEarningsMember;nn
139;Other comprehensive income;IFRS;3312.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
140;Comprehensive income;IFRS;3312.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs-full:OtherReservesMember;ixt:num-dot-decimal
141;Comprehensive income;IFRS;8349395.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs-full:RetainedEarningsMember;ixt:num-dot-decimal
142;Comprehensive income;IFRS;8352707.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
143;Equity;IFRS;55927.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
144;Equity;IFRS;32826.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
145;Equity;IFRS;11217047.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
146;Equity;IFRS;11305800.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
147;Profit loss;IFRS;0.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;ifrs-full:OtherReservesMember;nn
148;Profit loss;IFRS;2892190.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;ifrs-full:RetainedEarningsMember;ixt:num-dot-decimal
149;Profit loss;IFRS;2892190.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
150;Other comprehensive income;IFRS;-11410.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;ifrs-full:OtherReservesMember;ixt:num-dot-decimal
151;Other comprehensive income;IFRS;0.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;ifrs-full:RetainedEarningsMember;nn
152;Other comprehensive income;IFRS;-11410.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
153;Comprehensive income;IFRS;-11410.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;ifrs-full:OtherReservesMember;ixt:num-dot-decimal
154;Comprehensive income;IFRS;2892190.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;ifrs-full:RetainedEarningsMember;ixt:num-dot-decimal
155;Comprehensive income;IFRS;2880780.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
156;Equity;IFRS;55927.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
157;Equity;IFRS;21416.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
158;Equity;IFRS;14109237.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
159;Equity;IFRS;14186580.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
160;Country of incorporation;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
161;Principal place of business;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
162;Legal form of entity;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
163;Address of registered office of entity;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
164;Name of reporting entity or other means of identification;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
165;Domicile of entity;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
166;Description of nature of entitys operations and principal activities;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
167;Licence fee income;IFRS;14516715.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
168;Licence fee income;IFRS;17555899.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
169;Wages and salaries;IFRS;4616880.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
170;Wages and salaries;IFRS;4288884.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
171;Social contributions and expenses for pensions and care;Custom;543684.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
172;Social contributions and expenses for pensions and care;Custom;618341.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
173;Employee benefits expense;IFRS;5160564.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
174;Employee benefits expense;IFRS;4907225.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
175;Other expense by nature;IFRS;5561990.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
176;Other expense by nature;IFRS;4054185.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
177;Other income;IFRS;181344.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
178;Other income;IFRS;384703.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
179;Depreciation and amortisation expense;IFRS;873846.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
180;Depreciation and amortisation expense;IFRS;344735.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
181;Profit loss from operating activities;IFRS;3101659.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
182;Profit loss from operating activities;IFRS;8634457.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
183;Revenue from government grants;IFRS;25368.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
184;Revenue from government grants;IFRS;40482.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
185;Finance income cost;IFRS;-234837.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
186;Finance income cost;IFRS;-325544.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
187;Profit loss;IFRS;2892190.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
188;Profit loss;IFRS;8349395.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
189;Other comprehensive income net of tax gains losses on remeasurements of defined benefit plans;IFRS;-11410.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
190;Other comprehensive income net of tax gains losses on remeasurements of defined benefit plans;IFRS;3312.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
191;Other comprehensive income that will not be reclassified to profit or loss net of tax;IFRS;-11410.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
192;Other comprehensive income that will not be reclassified to profit or loss net of tax;IFRS;3312.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
193;Other comprehensive income;IFRS;-11410.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
194;Other comprehensive income;IFRS;3312.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
195;Comprehensive income;IFRS;2880780.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
196;Comprehensive income;IFRS;8352707.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
197;Current trade receivables;IFRS;1515978.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
198;Current trade receivables;IFRS;2204883.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
199;Other current financial assets;IFRS;33101.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
200;Other current financial assets;IFRS;14780.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
201;Other current assets;IFRS;296047.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
202;Other current assets;IFRS;479660.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
203;Cash and cash equivalents;IFRS;13255924.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
204;Cash and cash equivalents;IFRS;9833545.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
205;Current assets;IFRS;15101050.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
206;Current assets;IFRS;12532868.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
207;Intangible assets other than goodwill;IFRS;1158440.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
208;Intangible assets other than goodwill;IFRS;703028.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
209;Property plant and equipment;IFRS;235044.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
210;Property plant and equipment;IFRS;256965.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
211;Noncurrent financial assets;IFRS;143795.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
212;Noncurrent financial assets;IFRS;118376.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
213;Rightofuse assets;IFRS;3779781.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
214;Rightofuse assets;IFRS;0.0;iso4217:USD;2018-12-31;nn;nn;nn
215;Noncurrent assets;IFRS;5317060.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
216;Noncurrent assets;IFRS;1078369.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
217;Assets;IFRS;20418110.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
218;Assets;IFRS;13611237.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
219;Trade and other current payables to trade suppliers;IFRS;967842.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
220;Trade and other current payables to trade suppliers;IFRS;943989.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
221;Liabilities due to board directors;Custom;18955.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
222;Liabilities due to board directors;Custom;20489.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
223;Other current financial liabilities;IFRS;554670.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
224;Other current financial liabilities;IFRS;70199.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
